0	-16777216
1	-16777216
2	-16777216
3	-16777216
4	-16777216
5	-16777216
6	-16777216
7	-16777216
8	-16777216
9	-16777216
10	-16777216
11	-16777216
12	-16777216
13	-16777216
14	-16777216
15	-16777216
17	-16777216
16	-16777216
19	-16777216
18	-16777216
21	-16777216
20	-16777216
23	-16777216
22	-16777216
25	-16777216
24	-16777216
27	-16777216
26	-16777216
29	-16777216
28	-16777216
31	-16777216
30	-16777216
34	-16777216
35	-16777216
32	-16777216
33	-16777216
38	-16777216
39	-16777216
36	-16777216
37	-16777216
42	-16777216
43	-16777216
40	-16777216
41	-16777216
46	-16777216
47	-16777216
44	-16777216
45	-16777216
51	-16777216
50	-16777216
49	-16777216
48	-16777216
55	-16777216
54	-16777216
53	-16777216
52	-16777216
59	-16777216
58	-16777216
57	-16777216
56	-16777216
63	-16777216
62	-16777216
61	-16777216
60	-16777216
68	-16777216
69	-16777216
70	-16777216
71	-16777216
64	-16777216
65	-16777216
66	-16777216
67	-16777216
76	-16777216
77	-16777216
78	-16777216
79	-16777216
72	-16777216
73	-16777216
74	-16777216
75	-16777216
85	-16777216
84	-16777216
87	-16777216
86	-16777216
81	-16777216
80	-16777216
83	-16777216
82	-16777216
93	-16777216
92	-16777216
95	-16777216
94	-16777216
89	-16777216
88	-16777216
91	-16777216
90	-16777216
102	-16777216
103	-16777216
100	-16777216
101	-16777216
98	-16777216
99	-16777216
96	-16777216
97	-16777216
110	-16777216
111	-16777216
108	-16777216
109	-16777216
106	-16777216
107	-16777216
104	-16777216
105	-16777216
119	-16777216
118	-16777216
117	-16777216
116	-16777216
115	-16777216
114	-16777216
113	-16777216
112	-16777216
127	-16777216
126	-16777216
125	-16777216
124	-16777216
123	-16777216
122	-16777216
121	-16777216
120	-16777216
137	-16777216
136	-16777216
139	-16777216
138	-16777216
141	-16777216
140	-16777216
143	-16777216
142	-16777216
129	-16777216
128	-16777216
131	-16777216
130	-16777216
133	-16777216
132	-16777216
135	-16777216
134	-16777216
152	-16777216
153	-16777216
154	-16777216
155	-16777216
156	-16777216
157	-16777216
158	-16777216
